,date,Prawo i Sprawiedliwość,Porozumienie,Solidarna Polska,PlatformaObywatelska,.Nowoczesna,Partia Zieloni 🌻,Inicjatywa Polska,Konfederacja,Ruch Narodowy,Partia KORWiN,🍀 PSL,KUKIZ15 🇵🇱,Lewica,Razem
58,2020-02-28,13,3,1,2,2,0,0,52,3,0,4,0,21,9
59,2020-02-29,17,0,0,1,3,3,1,37,1,0,4,0,16,4
60,2020-03-01,9,0,1,1,6,4,1,32,1,2,3,0,18,3
61,2020-03-02,16,1,0,18,5,7,0,53,1,3,6,0,12,5
62,2020-03-03,9,0,0,11,3,4,1,45,1,2,1,0,18,1
63,2020-03-04,18,0,0,2,1,7,0,53,1,1,3,0,12,4
64,2020-03-05,6,0,4,14,2,3,0,35,2,0,2,0,20,3
65,2020-03-06,11,1,1,2,2,1,0,53,0,3,4,0,9,1
66,2020-03-07,4,0,0,9,1,0,0,14,2,3,2,0,23,1
67,2020-03-08,9,1,0,3,5,6,0,22,1,0,1,0,15,2
68,2020-03-09,18,0,0,9,0,3,0,42,2,0,7,0,14,10
69,2020-03-10,22,4,0,25,2,3,0,37,0,0,3,0,25,3
70,2020-03-11,21,2,1,5,2,1,0,37,0,0,2,0,19,0
71,2020-03-12,31,3,0,4,1,5,0,29,0,3,6,0,12,8
72,2020-03-13,41,1,0,9,1,2,0,23,0,2,3,0,17,10
73,2020-03-14,17,0,0,11,1,0,0,50,0,0,2,0,7,13
74,2020-03-15,6,0,0,8,2,1,0,11,3,1,0,4,20,4
75,2020-03-16,41,1,0,10,1,15,0,26,0,3,0,0,21,11
76,2020-03-17,17,1,0,5,0,4,0,22,0,0,2,0,7,8
77,2020-03-18,54,6,0,29,1,3,0,43,1,1,6,0,14,5
78,2020-03-19,32,3,1,26,1,0,0,34,2,2,1,0,6,6
79,2020-03-20,31,0,0,21,3,0,0,47,0,5,2,2,15,6
80,2020-03-21,15,5,0,0,0,0,0,11,0,0,0,0,13,2
81,2020-03-22,1,0,0,1,0,1,0,27,0,0,1,0,15,2
82,2020-03-23,16,1,0,32,1,9,0,31,1,2,1,0,14,15
83,2020-03-24,31,4,0,24,0,5,0,47,0,1,8,3,3,8
84,2020-03-25,17,6,0,26,0,3,0,44,0,0,7,0,20,1
85,2020-03-26,12,10,0,22,0,14,0,28,1,0,3,0,13,14
86,2020-03-27,34,2,0,35,0,3,0,38,2,1,3,0,52,32
87,2020-03-28,3,4,0,29,1,5,0,39,0,0,1,0,16,11
88,2020-03-29,2,0,0,5,2,0,0,21,0,0,4,0,19,5
89,2020-03-30,14,0,1,21,1,16,0,36,2,0,1,0,8,2
90,2020-03-31,25,5,0,34,2,6,0,41,0,0,6,0,19,6
91,2020-04-01,18,3,0,10,0,2,0,38,1,0,3,1,5,15
92,2020-04-02,8,17,2,10,0,4,1,44,0,0,1,0,8,5
93,2020-04-03,10,11,0,30,0,8,1,41,0,3,2,0,31,2
94,2020-04-04,6,0,0,3,0,2,1,27,1,1,2,0,6,1
95,2020-04-05,3,0,1,2,2,0,0,16,0,1,0,0,5,2
96,2020-04-06,24,11,0,38,0,6,0,78,0,3,4,0,69,13
97,2020-04-07,15,9,1,13,0,5,2,43,0,1,12,0,36,6
98,2020-04-08,23,6,0,23,0,14,0,29,0,2,3,0,7,2
99,2020-04-09,25,11,0,4,2,9,0,19,0,2,1,0,4,1
100,2020-04-10,20,4,0,7,1,5,2,8,1,1,3,0,6,4
101,2020-04-11,2,0,0,3,0,8,0,0,0,1,0,0,3,0
102,2020-04-12,0,0,1,1,0,1,0,0,2,0,1,0,16,0
103,2020-04-13,2,0,0,3,0,2,0,0,1,1,0,0,4,1
104,2020-04-14,9,1,0,7,0,5,2,32,2,0,3,0,23,8
105,2020-04-15,13,10,0,18,1,1,0,47,6,0,2,0,98,51
106,2020-04-16,14,15,1,10,2,5,1,36,2,0,2,0,37,7
107,2020-04-17,6,5,0,13,3,7,0,32,5,0,1,0,12,0
108,2020-04-18,1,1,4,4,0,6,0,8,0,0,2,0,9,0
109,2020-04-19,2,1,0,6,0,3,1,19,0,0,0,0,13,3
110,2020-04-20,10,14,1,32,0,10,0,35,5,1,5,1,17,9
111,2020-04-21,9,9,0,10,1,7,0,51,3,3,6,0,35,4
112,2020-04-22,6,5,2,16,1,10,1,42,1,5,5,0,36,13
113,2020-04-23,4,5,1,32,1,10,1,51,4,1,2,0,37,19
114,2020-04-24,11,17,1,36,1,16,0,33,1,2,2,0,21,3
115,2020-04-25,12,3,0,1,0,3,0,32,0,0,0,0,22,1
116,2020-04-26,3,0,0,5,1,1,0,23,0,0,1,0,28,0
117,2020-04-27,7,3,0,15,2,13,1,41,0,1,2,0,13,6
118,2020-04-28,4,25,0,14,0,10,0,24,1,3,5,0,34,5
119,2020-04-29,16,5,0,2,1,4,0,40,1,0,3,0,98,23
120,2020-04-30,9,6,0,18,0,1,0,38,0,3,3,0,15,4
121,2020-05-01,4,1,0,3,2,7,2,39,0,0,2,0,25,3
122,2020-05-02,4,0,1,3,1,1,0,16,2,0,1,0,6,0
123,2020-05-03,3,1,1,9,2,2,1,10,0,0,2,0,27,2
124,2020-05-04,6,3,0,23,2,9,0,61,0,7,2,0,29,0
125,2020-05-05,5,6,2,20,1,8,1,47,1,0,1,0,39,4
126,2020-05-06,15,6,0,5,0,7,0,60,19,0,4,0,32,4
127,2020-05-07,5,29,0,32,1,7,0,48,0,5,3,0,33,8
128,2020-05-08,2,4,0,35,0,9,0,41,0,4,3,0,20,6
129,2020-05-09,4,1,0,2,2,10,0,14,0,8,8,0,8,6
130,2020-05-10,3,1,4,13,0,5,0,5,0,1,1,0,29,5
131,2020-05-11,16,18,0,10,0,7,0,31,0,3,1,0,24,6
132,2020-05-12,9,15,1,14,3,8,0,27,0,1,5,0,41,14
133,2020-05-13,24,9,0,5,0,14,0,34,0,2,3,0,58,9
134,2020-05-14,9,8,0,7,0,12,0,24,0,0,5,0,33,10
135,2020-05-15,22,3,0,32,3,4,0,25,0,4,0,0,16,0
136,2020-05-16,4,2,0,3,3,4,0,18,0,3,0,0,14,9
137,2020-05-17,2,1,0,31,2,3,1,12,1,1,2,0,15,0
138,2020-05-18,20,5,1,34,1,4,0,27,1,2,0,0,21,7
139,2020-05-19,19,4,0,20,0,3,1,30,2,2,4,0,37,4
140,2020-05-20,10,3,0,26,0,7,0,40,0,0,2,0,26,3
141,2020-05-21,9,6,0,20,0,3,0,32,2,0,2,0,22,1
142,2020-05-22,32,3,0,18,1,4,0,28,1,1,4,0,17,2
143,2020-05-23,3,1,1,5,2,4,0,13,9,4,1,0,9,4
144,2020-05-24,2,0,0,4,2,6,0,13,0,0,0,0,27,8
145,2020-05-25,13,5,0,27,1,18,0,52,27,0,2,0,18,8
146,2020-05-26,9,1,0,14,1,5,2,44,18,0,7,1,20,1
147,2020-05-27,32,9,0,30,0,3,0,44,39,3,2,0,19,35
148,2020-05-28,28,3,1,43,0,8,0,35,35,0,3,0,38,29
149,2020-05-29,26,3,0,1,0,5,0,29,30,0,1,0,15,18
150,2020-05-30,18,0,0,6,0,10,0,24,18,0,4,0,25,3
151,2020-05-31,2,1,0,7,1,0,0,33,20,6,3,0,10,1
152,2020-06-01,10,4,1,15,1,14,0,34,11,0,5,0,15,4
153,2020-06-02,31,2,0,4,1,11,0,39,18,0,2,0,28,7
154,2020-06-03,32,4,0,8,0,7,0,39,3,0,2,0,14,2
155,2020-06-04,56,4,0,28,1,6,0,49,23,0,11,1,91,2
156,2020-06-05,9,3,0,4,3,5,1,26,21,1,1,0,29,10
157,2020-06-06,9,1,0,6,1,1,0,22,11,1,0,0,9,2
158,2020-06-07,3,1,0,3,0,0,1,27,20,0,1,0,20,4
159,2020-06-08,12,5,0,2,0,7,0,43,11,0,6,0,26,28
160,2020-06-09,18,3,0,3,2,4,0,40,19,0,4,0,18,3
161,2020-06-10,3,4,0,27,1,5,1,32,1,2,2,0,8,7
162,2020-06-11,4,0,0,6,1,1,0,17,15,0,0,0,7,12
163,2020-06-12,12,4,0,13,0,7,1,28,11,0,4,0,19,7
164,2020-06-13,17,0,1,2,1,3,0,18,9,0,3,0,18,10
165,2020-06-14,7,1,0,4,1,4,0,16,8,0,3,0,5,41
166,2020-06-15,5,1,0,16,0,14,0,68,12,0,1,0,20,16
167,2020-06-16,4,1,0,5,0,4,0,46,4,0,3,0,37,10
168,2020-06-17,6,1,0,15,1,13,0,76,33,0,2,0,12,18
169,2020-06-18,1,0,0,15,0,9,0,33,5,0,2,0,13,7
170,2020-06-19,3,2,0,12,0,6,0,21,20,0,0,0,28,3
171,2020-06-20,2,2,0,4,0,0,0,43,10,0,0,0,27,18
172,2020-06-21,4,0,0,4,0,0,0,26,11,2,3,0,26,0
173,2020-06-22,10,4,0,12,3,10,0,35,14,0,2,0,14,1
174,2020-06-23,8,3,0,23,1,3,0,64,8,0,3,0,29,9
175,2020-06-24,3,4,0,7,0,5,0,65,11,1,3,1,3,12
176,2020-06-25,8,1,0,11,0,7,0,68,7,1,6,0,23,9
177,2020-06-26,2,2,1,7,0,3,0,71,5,0,2,2,5,9
178,2020-06-27,0,0,0,0,0,1,0,1,0,0,0,0,0,0
179,2020-06-28,2,0,1,0,0,1,0,31,0,1,1,0,0,0
180,2020-06-29,2,2,0,21,0,8,0,11,0,0,2,0,8,10
181,2020-06-30,3,2,0,13,2,8,0,17,4,0,4,0,14,4
182,2020-07-01,9,1,4,15,4,7,0,33,3,0,1,0,9,2
183,2020-07-02,13,0,1,24,2,3,0,44,1,0,1,0,10,0
184,2020-07-03,5,2,0,8,1,3,0,43,23,0,1,1,4,0
185,2020-07-04,2,0,0,2,0,2,0,19,1,0,3,0,4,0
186,2020-07-05,2,0,1,2,1,0,1,21,0,0,2,0,19,0
187,2020-07-06,5,0,0,13,1,7,0,74,4,1,0,0,11,3
188,2020-07-07,4,1,4,10,1,7,0,30,3,0,0,1,14,4
189,2020-07-08,5,0,5,2,2,10,0,58,10,0,2,1,9,0
190,2020-07-09,11,1,0,18,0,12,0,26,6,0,4,0,12,0
191,2020-07-10,1,1,4,20,0,0,1,51,14,0,0,3,7,1
192,2020-07-11,0,0,0,0,0,3,0,21,4,0,0,0,1,0
193,2020-07-12,0,3,0,2,0,4,0,17,0,0,0,0,3,8
194,2020-07-13,2,4,0,0,2,2,0,42,20,0,0,0,16,3
195,2020-07-14,11,2,0,33,1,8,0,45,21,0,1,0,19,2
196,2020-07-15,3,1,1,15,2,3,0,40,16,1,13,0,49,79
197,2020-07-16,4,1,0,19,2,3,0,40,7,2,10,2,29,6
198,2020-07-17,4,1,0,26,1,2,0,37,18,0,1,0,20,2
199,2020-07-18,2,0,0,0,1,0,1,13,2,0,1,0,11,0
200,2020-07-19,11,1,0,2,0,0,0,7,3,0,1,0,14,2
201,2020-07-20,7,2,0,2,0,4,1,51,15,1,0,0,13,6
202,2020-07-21,20,0,0,8,1,5,1,32,11,3,11,0,16,2
203,2020-07-22,17,1,1,18,1,3,1,59,32,0,5,0,23,27
204,2020-07-23,6,2,0,19,0,1,0,40,23,4,16,0,42,24
205,2020-07-24,9,1,1,9,0,6,2,10,15,4,6,0,22,33
206,2020-07-25,2,0,0,4,0,0,0,15,8,1,0,0,16,5
207,2020-07-26,2,0,0,2,1,0,0,12,4,0,2,0,22,0
208,2020-07-27,7,0,0,6,1,8,2,55,17,0,4,0,19,4
209,2020-07-28,7,0,0,12,2,13,1,37,10,0,11,0,23,2
210,2020-07-29,6,0,0,12,1,10,1,53,33,1,7,0,13,10
211,2020-07-30,14,0,0,11,1,5,1,45,14,0,4,0,7,4
212,2020-07-31,9,0,0,12,2,1,0,39,22,0,0,0,5,4
213,2020-08-01,19,0,2,4,0,1,0,12,2,0,0,0,8,2
214,2020-08-02,1,0,0,0,0,0,0,13,7,0,0,0,25,5
215,2020-08-03,4,0,0,3,1,5,0,42,11,0,2,0,7,1
216,2020-08-04,5,0,0,7,2,5,1,49,12,0,1,0,16,9
217,2020-08-05,13,0,0,5,0,7,2,50,10,1,5,0,8,2
218,2020-08-06,16,0,1,7,0,1,0,45,13,0,1,0,28,12
219,2020-08-07,3,0,0,3,1,7,0,51,27,0,5,0,11,9
220,2020-08-08,14,0,0,3,0,4,0,14,16,0,1,0,22,7
221,2020-08-09,2,0,0,2,1,0,0,14,6,0,2,0,14,3
222,2020-08-10,7,0,8,5,1,6,0,15,15,0,2,0,4,2
223,2020-08-11,11,1,0,2,0,4,0,15,15,0,13,0,40,1
224,2020-08-12,12,0,0,2,1,5,0,12,25,0,7,0,17,2
225,2020-08-13,10,0,0,3,0,2,0,17,17,0,4,0,13,7
226,2020-08-14,16,0,0,3,1,7,1,5,17,1,7,1,0,1
227,2020-08-15,6,1,1,4,0,3,0,1,32,0,9,1,0,0
228,2020-08-16,1,0,0,0,0,6,0,0,7,0,7,0,7,3
229,2020-08-17,3,0,0,6,1,12,0,49,23,0,1,0,7,1
230,2020-08-18,14,0,1,8,0,4,0,50,17,0,4,0,8,8
231,2020-08-19,18,0,0,9,0,10,0,52,21,1,7,0,8,6
232,2020-08-20,10,0,0,4,0,2,0,42,12,1,4,0,5,2
233,2020-08-21,5,0,0,3,0,5,0,42,18,0,1,0,30,6
234,2020-08-22,3,0,0,0,0,3,0,12,9,1,0,0,13,2
235,2020-08-23,5,0,2,0,0,2,0,1,12,0,1,0,11,0
236,2020-08-24,17,0,0,1,0,7,0,44,11,0,4,0,18,2
237,2020-08-25,21,0,0,3,0,6,0,46,16,3,9,0,10,3
238,2020-08-26,17,0,0,3,0,0,0,41,18,0,11,0,16,5
239,2020-08-27,12,0,0,6,0,0,0,41,20,7,9,0,8,6
240,2020-08-28,12,0,0,3,1,4,0,61,24,7,12,0,10,3
241,2020-08-29,2,0,0,1,0,7,0,6,22,0,0,0,6,1
242,2020-08-30,4,0,0,6,2,1,0,17,13,0,7,1,13,2
243,2020-08-31,12,1,0,2,1,9,0,51,19,1,0,0,13,1
244,2020-09-01,38,0,0,5,0,11,1,53,26,0,6,0,11,9
245,2020-09-02,10,0,0,5,1,7,1,46,34,5,17,0,21,4
246,2020-09-03,17,0,0,6,2,11,0,60,12,1,6,0,11,3
247,2020-09-04,10,0,0,4,1,5,0,46,13,0,18,0,18,3
248,2020-09-05,22,1,0,2,0,0,0,0,34,0,0,0,12,0
249,2020-09-06,2,0,0,1,0,2,0,0,16,0,0,0,22,0
250,2020-09-07,21,1,0,9,1,2,0,49,11,2,3,0,23,2
251,2020-09-08,22,0,0,5,0,2,0,47,35,1,7,0,12,2
252,2020-09-09,21,0,0,3,3,8,1,70,21,7,4,0,20,2
253,2020-09-10,11,0,4,11,1,9,0,47,49,2,15,0,16,7
254,2020-09-11,10,2,1,7,0,7,0,42,33,0,18,0,32,2
255,2020-09-12,2,0,0,1,1,1,0,7,24,0,1,0,8,0
256,2020-09-13,9,0,0,1,0,2,0,22,36,0,7,0,128,7
257,2020-09-14,11,0,0,9,3,4,3,37,28,0,15,0,30,9
258,2020-09-15,10,0,1,17,2,17,0,48,28,2,7,0,25,7
259,2020-09-16,14,0,3,24,0,7,1,39,58,7,28,0,48,6
260,2020-09-17,35,1,3,21,1,9,2,45,40,1,28,0,73,8
261,2020-09-18,26,1,2,17,0,4,1,54,46,2,12,0,14,8
262,2020-09-19,12,0,0,2,1,6,0,10,29,0,2,0,47,5
263,2020-09-20,4,0,2,4,1,2,0,23,25,0,6,0,37,4
264,2020-09-21,10,1,4,12,2,7,0,48,30,1,6,0,16,9
265,2020-09-22,18,0,1,9,1,12,0,51,22,0,10,0,22,4
266,2020-09-23,28,0,0,6,0,4,1,37,23,1,20,0,38,5
267,2020-09-24,18,0,0,11,1,4,0,42,34,2,11,0,14,6
268,2020-09-25,8,0,0,9,2,6,0,39,23,1,4,0,7,2
269,2020-09-26,15,2,1,65,0,0,0,8,21,0,0,0,51,3
270,2020-09-27,2,0,0,3,1,6,0,13,10,1,2,0,42,2
271,2020-09-28,16,0,4,1,1,6,0,44,30,0,13,0,9,9
272,2020-09-29,12,0,0,7,2,10,0,33,30,1,19,0,32,11
273,2020-09-30,21,3,0,7,0,6,1,39,28,0,18,0,33,9
274,2020-10-01,21,0,0,4,0,3,0,35,30,2,10,0,17,2
275,2020-10-02,31,0,0,10,1,6,1,42,18,0,13,0,20,8
276,2020-10-03,0,0,1,2,0,1,1,7,9,0,1,0,35,0
277,2020-10-04,2,1,0,3,1,1,1,0,11,0,2,0,22,0
278,2020-10-05,10,0,0,9,3,4,0,24,20,0,3,0,21,1
279,2020-10-06,23,4,0,7,1,5,0,28,23,0,5,0,12,1
280,2020-10-07,8,2,0,18,2,8,0,48,29,0,24,0,15,1
281,2020-10-08,17,1,0,26,0,8,0,1,9,1,19,0,33,11
282,2020-10-09,16,1,2,11,2,7,0,7,17,0,12,0,10,15
283,2020-10-10,16,0,2,2,0,10,0,0,12,0,10,0,7,0
284,2020-10-11,5,0,1,3,0,6,0,0,9,1,16,0,9,0
285,2020-10-12,20,1,0,5,0,4,0,2,20,0,23,0,13,6
286,2020-10-13,16,0,1,12,0,6,1,1,22,0,28,0,21,11
287,2020-10-14,15,0,1,16,0,19,1,62,21,0,12,0,15,1
288,2020-10-15,21,1,6,16,0,15,0,42,14,0,20,0,19,4
289,2020-10-16,4,0,4,8,1,5,1,33,32,2,19,0,13,3
290,2020-10-17,1,0,0,0,0,7,1,11,22,0,4,0,18,2
